000,000,000,000,000,000,000,000,000,000,000,000,
000,101,101,101,101,101,101,000,000,000,000,000,
000,000,000,000,000,000,000,000,000,000,000,000,
000,102,000,000,000,000,000,000,000,000,000,000,
000,102,000,000,000,000,000,000,000,000,000,000,
000,102,000,000,000,000,000,000,000,000,000,000,
000,102,000,000,000,000,000,000,000,000,000,000,
000,102,000,000,000,000,000,000,000,000,000,000,
000,102,000,000,000,000,000,000,000,000,000,000,
000,102,000,000,000,000,000,000,000,000,000,000,
000,000,000,000,000,000,000,000,000,000,000,000,
000,000,000,000,000,000,000,000,000,000,000,000,
